stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length,prompt,text_gpt3_v2,prompt_v3,gpt3_v3
,,,"This was so funny, lots of games! I won an adorable stuffed animal! Its lots a fun to cuddle with. Fun experience! I need to bring the whole fam next time",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURJanBQb1pBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, It's was my first time coming here but It'll definitely not be my last loved it ,A Google Maps review about a Amusement center. ###," Pool, arcade, kids wirl pool, table tennis on second floor, ball pit, food. Pizza shop and Service department! "
,,,"Fun party experience with a wide range of games. Cheap drinks, bowling, pool, and overall childish entertainment. I would certainly return again for another night of nonsense.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNZLWRHY3VRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is suuuuuuper fun for the kiddos & not so kiddos. The laser tag is probably my favorite. You got to go on the slides in the tube. ,A Google Maps review about a Amusement center. ###, Definitely a play place you can bring the whole family! Kid friendly! I took the kids a few weeks ago and they absolutely loved it! Doubled the value at $17.50 a person! Definitely subscribe for $15 for the year.  Extra kids admissions that is! Everything was greased lightning and well maintained! Cleanup carried out daily! Definitely a family or group outing!! Thank you for the experience! 
,,,This was such a fun place for the whole family & the food was so delicious & well plated. We are excited for our next experience here.,Electric Playhouse,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNtc04zQXNRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Best customer service I’ve received in Dallas! Will definitely be going here again. Had a blast! ,A Google Maps review about a Amusement center. ###, Fun for everyone! My unsmiling 5 year old loved the climbing zone. 
,,,"This place was pretty chill. Reminded me of that place called Main Event--without the laser tag. Didn't have any bike racks so we had to get creative locking our bikes together around the big pillar outside(see picture). Prices aren't too bad, wish they had specials for certain nights. Love that they serve pitchers! They had Santa Fe's 7K on tap too. Paul and Dinh(sp?) were really cool too.

The downside to the place is that it kinda felt like we were being chaperoned at a field trip or something. Lots of people just watching us... Kinda creepy and unnecessary.",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNvb05hU1pREAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Kids love it. Me not so much. Too much heat, no fans, no place to hide from the sun. Memorial day weekend. One small bathroom and no place to line up to use the restroom. Employees walking around but no one to keep kids in the the games or off of the equipment. Wouldn't go again.  Place is too large for the amount of employees. ",A Google Maps review about a Amusement center. ###, My little guys had a great time. They said it was the best thing ever. My 4 year old still thinks it’s the best ever with a 6 year old tooth fairy he thinks it’s the bomb. Relaxing for them and having a little fun before goals and games after. 
,,,Wonderful arcade!! We love visiting here. HUGE arcade with some of the best games available! Everything from pinball to bowling. They offer some of the best fun we have had in NM. Very affordable for the amount of options . The prize room has some great options and we have always left with a smile on our faces. It is also very convenient to just about every store and restaurant you could think of. This is a must try if your in the area!,Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQyazc3ZE53EAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Awesome place to hangout with family and friends. Arcade games, bowling and lazer tag are good fun. Good place to spend an afternoon or evening with some cheap entertainment. ",A Google Maps review about a Amusement center. ###," Just as another reviewer, it apparent they use bungee. "
,,,Overly concerned about masks. No need to ask if you require it. Make the government enforce their own rules. Will never be back since I was asked to wear a mask.,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURHNHJDbDV3RRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is clean. The staff is nice. Love the two floors of minigolf. So fun. Also an arcade is like I was a kid again 1985. Awesome entertainment for the whole family ,A Google Maps review about a Amusement center. ###," Ray picked us up from park and drop off. He is wonderful. My daughter asked Ray if we can only get one each and he said no. My daughter and son bonded with Ray. The worlds coolest guy. Our hour and a half there, his face was awesome😁😁😁. Every kid there loves Ray. He loves kids. His smile is contagious and you can tell. As a new parent this family was what it took to get me through the day, it's worth it!
To say I felt relief was an understatement. Walked out sobbing, not just one little bit. "
,,,"**DO NOT BUY ANY RHYTHM GAME PASSES UNTIL THESE ISSUES ARE ADDRESSED**

Very niche complaint here, I know, but this is so frustrating. Aside from some of the games being broken (some for several months now), new games like Music Diver end up lagging.

But one thing that could easily be fixed is removing the acrylic plates keeping people from scanning their cards or putting in their PIN numbers on the touch screen. Part of the appeal of these games is the ability to save progress (that's what keeps me coming back), but these silly shields protecting the cabinets are in the way. Charging people $6 per card and then preventing them from using them is nothing short of a scam.",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVeDZhNV9BRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Had so much fun here. The ticket prices are great for adults and kids and it's tons of fun for all. They have lots of different games and machines to choose from and a big variety of music and entertainment tastes.
If you live in Michigan I'd recommend stopping in you'll have a great time. If you live out of state like me and are planning a trip to Michigan I would definitely include Playland at Oakland University in your plans. ",A Google Maps review about a Amusement center. ###," Absolutely great.  Every grown up and kid had a blast.  Employees were great, super helpful and customer service is number 1.  Clean and very nice.  Definitely coming back "
,,,"1/2022:  RECOMMEND, but 3.5 stars if possible due to 2 details:

If possible, go during the WEEKDAY for Unlimited bowl until 5pm for $11.99. I've hurt my arms & shoulders from bowling way too many games during this inexpensive time and improved my bowling scores.  (Thank you Round 1).

I've enjoyed going to Round 1 to relax and enjoy the oversized Pac-man game and bowl some stress away.  I have not tried the food nor drinks there because I just go in to play games.

Mostly clean, spacious and social distancing  protocols are  in effect.  Team members were constantly cleaning.  My only negative comment is that no one has cleaned the escalator entrance and it looks unwelcoming/unsightly.

Overall, give Round 1 a try and see what you think about it.  Enjoy the games!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURtM3NxbnRRRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Lots of interactive games and they change often.  Lots of space on the runway and teh games are spaced out well. ,A Google Maps review about a Amusement center. ###, Old. Food was horrible. Had to ask for soggy sandwich I paid 6$ for. End across platform was occupied. Way too old. Have a sommerfest these days. Nasty and wicked staff. 
,,,"Really neat place to take the kids for family time or just dump them off with $30 for a little over an hour (with an older sibling, I am not a monster!😂). Oh and cards are reloadable and the hold the tickets you won too.
They have bowling, billiard tables, darts, and tons of different types of arcade games. I highly recommend checking them out in person or online. Either it was a blast!!",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURxb3ZiNEhnEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," Wasn't expecting an indoor playground, but was very impressed! Our 3 year old had a blast and our 17 month old was content playing in the baby area. We will be coming back in the summer to try out the amazing fried foods! ",A Google Maps review about a Amusement center. ###," We use this as a birthday spot with our daughter and everytime she does  we try to push it forward as much as possible.  It is well needed for us.. a sweet five year old needs an outlet to release pent up energy,  no hater... "
,,,We had a great time ❤,Hinkle Fun Center,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNld3Vib0ZBEAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," The place is absolutely amazing. Me and my family all love acial conecpt places, kareoke, bowling, laser tag all that. We have so much fun at Social, the food is great! We love the pizza and hot dogs. Even the fries aret the best, so good. Highly recommend 😊 ",A Google Maps review about a Amusement center. ###, Lots of fun for leon kids big and small age complimentary and still 10 years old is banned  however there is 0 other places in denver to bring them 
