prompt,completion,reviewId,url,placeId,stars
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: bruschetta, anniversary, dinner.","My husband and I had our anniversary dinner here and it was amazing! The service from the time we walked in was incredible. They sat us immediately and the waiter was very prompt. The chef, Jeff, greeted us personally and even presented our dessert for us!
My husband had the chicken, which was flavorful and juicy. I had pasta with shrimp, which I recommend highly! We had the pear bruschetta appetizer and I would also highly recommend it!
It was a very enjoyable evening and plan to go back again!",ChdDSUhNMG9nS0VJQ0FnSUNPdFBpYW5nRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: celebrated, visit, birthday.",Celebrated my wife’s birthday and she loved it!  Garlic bread is delicious. Smoked Manhattan is seductive.  Salads were perfect.  I had gnocchi for the first time and it was wonderful!  Salmon was superb.  Chocolate torte was very rich.  Service be Dani was attentive and great!   Great first visit.  We will be back!,ChZDSUhNMG9nS0VJQ0FnSUMybmJ2TlZREAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: fresh, seasoned, restaurant.","Fresh and well seasoned! I like the aesthetic of the restaurant as well. It’s very cool and modern, also wasn’t crowded when I went on a Saturday. It is pricey, but worth trying.",ChdDSUhNMG9nS0VJQ0FnSUMyc3Z1bTdnRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: bar, appetizers, seating.",Very beautiful atmosphere and impeccable service. We came on a busy Saturday night and were able to find seating at the bar. Delicious appetizers and cocktails,ChdDSUhNMG9nS0VJQ0FnSUQtNW8tV2lRRRAB,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: staff, customer, service.",The entire staff was attentive and so friendly. I’ve never experienced such outstanding customer service. Will definitely be returning!,ChZDSUhNMG9nS0VJQ0FnSUMtcTllTU5REAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,5.0
"Write a 4.0 stars Google Maps review about a Italian restaurant, with the following keywords: enjoyed, atmosphere, food.",Really enjoyed the food and the nice atmosphere.,ChZDSUhNMG9nS0VJQ0FnSUNodXJ6LUxnEAE,"https://www.google.de/maps/place/Plate+Restaurant+-+Leawood/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0ebac3b83dcad:0x1cdfe97beb712b06!8m2!3d38.9168913!4d-94.6473355!16s%2Fg%2F11rtq6j8m2?hl=en",ChIJrdyDO6zrwIcRBitx63vp3xw,4.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: ravioli, appetizers, calamari.","The food is delicious. For appetizers you cannot go wrong with the calamari or the toasted ravioli. I get them every time. Every pasta dish I have had has been great - fettuccine, pasta with clams, salmon… you name it. YUM. It’s also very affordable - and free bread! Haha. I’m glad I live close. The area is so cute.",ChdDSUhNMG9nS0VJQ0FnSURlb01tV193RRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: dinner, restaurant, tuscany.","My hubby surprised me with a little ""staycation"" getaway for my birthday. We spent the night at an Airbnb in Parkville, MO & we were so surprised to learn that the little Italian place on the corner called Frank's served breakfast! We were intrigued, so we gave it a shot. It was delicious. I had the Chicken Alfredo Omelette, my husband had the Tuscany Frittata, and we split a side of French toast. It is a charming little restaurant. Friendly staff, and a lovely atmosphere. We will definitely be back! I'm excited to try it for dinner as well!",ChZDSUhNMG9nS0VJQ0FnSUNXNHRUSlVREAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: brunch, parkville, mimosa.","Frank's of Parkville is thr best Brunch and Mimosa destination, in North Kansas City. Wide variety menu, including eggs Benedict,  French toast, breakfast sandwich and more. With options to sit cozy and cool on the inside, or enjoy the beautiful scenery unfolding outside, on their patio deck. EXCELLENT service, GREAT food, AFFORDABLE- Open on the weekends, brunch until noon.",ChdDSUhNMG9nS0VJQ0FnSUR1NE9tRDR3RRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: italian, restaurant, delicious.","This is by far my favorite Italian restaurant ever. Great service, kind people, fast, delicious, reasonably priced, all around a great experience.",ChZDSUhNMG9nS0VJQ0FnSURxeHVyMFZREAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
"Write a 4.0 stars Google Maps review about a Italian restaurant, with the following keywords: italian, waitress, staff.","I had a really great experience here. The staff was friendly and helpful. Our waitress was very attentive but not overwhelmingly so. Food was delicious! Really cute and tiny, perfect atmosphere. It’s casual for Italian, but I enjoyed the local feel.",ChdDSUhNMG9nS0VJQ0FnSURNc05Xa3pRRRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,4.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: frank, calimari, entrees.","We just tried Frank's for the first time and it won't be our last.  The calimari was fresh, tender and cooked to perfection.  Our entrees were hot, delicious and served with a loaf of hot bread and a lovely dinner salad.  The customer service was remarkable.  Frank's is a real throwback to restaurants back before corporations started mass producing factory prepped food.  A real treat!!",ChdDSUhNMG9nS0VJQ0FnSUNvNS1pSDNnRRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
"Write a 4.0 stars Google Maps review about a Italian restaurant, with the following keywords: parkville, restaurant, patio.","Nice Lil Italian restaurant .Good portion size,good food! Suggest you eat outside on their patio and watch Parkville stroll by. Nice and relaxing.",ChdDSUhNMG9nS0VJQ0FnSURXbHJLdm1BRRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,4.0
"Write a 4.0 stars Google Maps review about a Italian restaurant, with the following keywords: calamari, parkville, appetizer.","This is a hidden gem in Parkville! The food was amazing. Everything is freshly made, and the flavors were amazing.  The Calamari was a great appetizer to start with.",ChZDSUhNMG9nS0VJQ0FnSURNM2V1VFVnEAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,4.0
"Write a 4.0 stars Google Maps review about a Italian restaurant, with the following keywords: seating, park, sangrias.",Great outside seating had some sangrias before a nice walk in english landing park.  Great place to sit outside and have some drinks and watch some people,ChdDSUhNMG9nS0VJQ0FnSURXMG8yRC1BRRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,4.0
"Write a 3.0 stars Google Maps review about a Italian restaurant, with the following keywords: risotto, pasta, steak.",The Italian Steak looks really good. Tilapia was good. Pasta with the dish was awesome. Chicken Spedini was the best. Risotto was different,ChZDSUhNMG9nS0VJQ0FnSUNnOC1EaFlnEAE,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,3.0
"Write a 5.0 stars Google Maps review about a Italian restaurant, with the following keywords: cannolis, coffee, good.",The Coffee is good and the Cannolis are amazing.,ChdDSUhNMG9nS0VJQ0FnSUN1bzlpMDBRRRAB,"https://www.google.de/maps/place/Frank's+of+Parkville/@39.0167479,-95.2085899,10z/data=!4m6!3m5!1s0x87c0f5aa36a54ee3:0xb091ca3870ffd200!8m2!3d39.1893682!4d-94.6840522!16s%2Fg%2F12635zrrb?hl=en",ChIJ406lNqr1wIcRANL_cDjKkbA,5.0
