text,reviewId,url,placeId,categoryName,stars,title,reviewImageUrls/0,genre,prompt,completion
"This restaurant is the BEST find in over a year!!! How could we not know about this little dream stop?
It is a friendly and fabulous-tasting food experience! I highly recommend you stop by and choose a favorite! As for me and mine... the pancakes are puffs of heaven AND, they serve peanut butter upon request!
Will be back ... OFTEN!!",ChZDSUhNMG9nS0VJQ0FnSUNoZzcyUWZnEAE,"https://www.google.com/maps/place/The+Grill+Inc/@39.0686216,-87.6845971,10z/data=!4m2!3m1!1s0x886dbe9e467428d1:0x6503b7bd081257c0?hl=en",ChIJ0Sh0Rp6-bYgRwFcSCL23A2U,Grill,5.0,The Grill Inc,https://lh5.googleusercontent.com/p/AF1QipOqWi4bTfU_raatYcWb5RHiSm8cGB623Bo4nW-X=w150-h150-k-no-p,restaurant,A Google Maps review about a grill.,"This restaurant is the BEST find in over a year!!! How could we not know about this little dream stop?
It is a friendly and fabulous-tasting food experience! I highly recommend you stop by and choose a favorite! As for me and mine... the pancakes are puffs of heaven AND, they serve peanut butter upon request!
Will be back ... OFTEN!!"
Excellent food ...a true hidden gem had the Rideye steak it was perfect salad was fresh & delicious .. Highly recommended 7/16/22 Don't buy the tenderloin was dry & horrible.. bigger doesn't mean better .. the waitress took it off the bill and I didn't even ask.. she was really nice..,ChdDSUhNMG9nS0VJQ0FnSUN3dGJxVmtnRRAB,"https://www.google.com/maps/place/The+Grill+Inc/@39.0686216,-87.6845971,10z/data=!4m2!3m1!1s0x886dbe9e467428d1:0x6503b7bd081257c0?hl=en",ChIJ0Sh0Rp6-bYgRwFcSCL23A2U,Grill,5.0,The Grill Inc,https://lh5.googleusercontent.com/p/AF1QipNjM2_LxiBpqFagjfLv9ojx5iQed4s9PRuLcKAk=w150-h150-k-no-p,restaurant,A Google Maps review about a grill.,Excellent food ...a true hidden gem had the Rideye steak it was perfect salad was fresh & delicious .. Highly recommended 7/16/22 Don't buy the tenderloin was dry & horrible.. bigger doesn't mean better .. the waitress took it off the bill and I didn't even ask.. she was really nice..
"Awesome home cooked meals and rock-bottom prices!!! Highly recommended that you visit here.
Waitresses are very polite and if you visit regularly they will begin to remember what you order. Great benefit!
P.S. For coffee drinkers, the coffee severed here is excellent!",ChdDSUhNMG9nS0VJQ0FnSUNCb2JHLXZBRRAB,"https://www.google.com/maps/place/The+Grill+Inc/@39.0686216,-87.6845971,10z/data=!4m2!3m1!1s0x886dbe9e467428d1:0x6503b7bd081257c0?hl=en",ChIJ0Sh0Rp6-bYgRwFcSCL23A2U,Grill,5.0,The Grill Inc,https://lh5.googleusercontent.com/p/AF1QipN2_n3TRlpdyCcYj-vICafCiCD0aTMoGNhQ_QzZ=w150-h150-k-no-p,restaurant,A Google Maps review about a grill.,"Awesome home cooked meals and rock-bottom prices!!! Highly recommended that you visit here.
Waitresses are very polite and if you visit regularly they will begin to remember what you order. Great benefit!
P.S. For coffee drinkers, the coffee severed here is excellent!"
"Good food, good prices. But cash only.",ChZDSUhNMG9nS0VJQ0FnSURndnRmSFVnEAE,"https://www.google.com/maps/place/The+Grill+Inc/@39.0686216,-87.6845971,10z/data=!4m2!3m1!1s0x886dbe9e467428d1:0x6503b7bd081257c0?hl=en",ChIJ0Sh0Rp6-bYgRwFcSCL23A2U,Grill,4.0,The Grill Inc,https://lh5.googleusercontent.com/p/AF1QipNf6dB6cfLsDM96HMtp6iwyEpWWhsEv8eEOmv4U=w150-h150-k-no-p,restaurant,A Google Maps review about a grill.,"Good food, good prices. But cash only."
This place has been family owned for 40 years.  The food is so fresh and the service is amazing. Its so worth the trip.,ChdDSUhNMG9nS0VJQ0FnSUNobl8yQmpBRRAB,"https://www.google.com/maps/place/The+Grill+Inc/@39.0686216,-87.6845971,10z/data=!4m2!3m1!1s0x886dbe9e467428d1:0x6503b7bd081257c0?hl=en",ChIJ0Sh0Rp6-bYgRwFcSCL23A2U,Grill,5.0,The Grill Inc,https://lh5.googleusercontent.com/p/AF1QipNmvK295snXYlKac4HJfbLVnsZYByUFzf9Sz1HZ=w150-h150-k-no-p,restaurant,A Google Maps review about a grill.,This place has been family owned for 40 years.  The food is so fresh and the service is amazing. Its so worth the trip.
"Most of the machines didn't work, or would stop working. People hog machines with their stuff or hog the next machine so you can't sit down. Place to waste money.",ChZDSUhNMG9nS0VJQ0FnSUMtMTlYd0l3EAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,3.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipPvVzCYNw6ioMFc-XFFT4uyCwTL2wEii6OSxzbR=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Most of the machines didn't work, or would stop working. People hog machines with their stuff or hog the next machine so you can't sit down. Place to waste money."
"A great place to stay, superb rooms big and spotlessly clean, comfortable bed and coffee maker in the room too.
I'd recommend staying here.
Thank you 😁",ChZDSUhNMG9nS0VJQ0FnSUNvcFpybUdnEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipMR-XEAsOf74kfbTmZYJvhIg1nWbL49AcEeWD4J=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"A great place to stay, superb rooms big and spotlessly clean, comfortable bed and coffee maker in the room too.
I'd recommend staying here.
Thank you 😁"
Never been gambling before was interesting. Not really my thing but it was cool. Place was clean and staff was mostly friendly.,ChdDSUhNMG9nS0VJQ0FnSUNvdjhEdGxnRRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,3.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipNJJabX7SFUpU1xj4UeVcy3nJ9r2-YGqTr6U8zz=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,Never been gambling before was interesting. Not really my thing but it was cool. Place was clean and staff was mostly friendly.
"HUGE!
RV park is clean and quiet. Nice pull-thru, and back-in slots for RV’s and campers. Electric and water. Convenient dump station with excellent access. There are some tent camping spaces, and a clean bath house. Guests can pay a $10 fee to use The fitness center and hotel amenities, and that fee includes a nice buffet breakfast! A $5 dinner voucher is received upon entry, and can be used in the casino restaurant.",ChZDSUhNMG9nS0VJQ0FnSUN3bDhLQUVnEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,4.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipODJQuG-MYZvB_RR1CBzdxFj5pF3rrXs3qLlRyH=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"HUGE!
RV park is clean and quiet. Nice pull-thru, and back-in slots for RV’s and campers. Electric and water. Convenient dump station with excellent access. There are some tent camping spaces, and a clean bath house. Guests can pay a $10 fee to use The fitness center and hotel amenities, and that fee includes a nice buffet breakfast! A $5 dinner voucher is received upon entry, and can be used in the casino restaurant."
"Our hotel room was rather disgusting.  The carpet is full of stains and the wallpaper is pealing off of the wall in the bathroom.  As you will see in one of my pictures they have a holder in the bathtub for decent size bottles of shampoo, conditioner and soap.  The holder locks which I assume is so that nobody can steal their products.  However, the soap wasn't in the locked container.  I guess that is so that their guests can carry that soap back and forth between the shower and the sink because that was the only soap in the room.  Also, the large bottle for conditioner was completely empty.  It seemed more like a $59.99 room instead of a $159 room.  Very disappointing.  Also, it is quite a long walk outside to get to the casino.  Luckily it was decent weather while we were there.",ChZDSUhNMG9nS0VJQ0FnSUNhdk96dmVBEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,1.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipO16hHOK-TfzJuCU3ZFRafodPhBwxTXSJA71yYC=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Our hotel room was rather disgusting.  The carpet is full of stains and the wallpaper is pealing off of the wall in the bathroom.  As you will see in one of my pictures they have a holder in the bathtub for decent size bottles of shampoo, conditioner and soap.  The holder locks which I assume is so that nobody can steal their products.  However, the soap wasn't in the locked container.  I guess that is so that their guests can carry that soap back and forth between the shower and the sink because that was the only soap in the room.  Also, the large bottle for conditioner was completely empty.  It seemed more like a $59.99 room instead of a $159 room.  Very disappointing.  Also, it is quite a long walk outside to get to the casino.  Luckily it was decent weather while we were there."
